iter	Passed	Remaining
412	4193	883
413	4200	872
414	4207	861
415	4214	851
416	4221	840
417	4229	829
418	4237	819
419	4244	808
420	4252	797
421	4259	787
422	4267	776
423	4275	766
424	4283	755
425	4291	745
426	4299	734
427	4306	724
428	4317	714
429	4329	704
430	4383	701
431	4395	691
432	4407	682
433	4419	672
434	4431	662
435	4443	652
436	4453	642
437	4465	632
438	4477	622
439	4487	611
440	4494	601
441	4502	590
442	4510	580
443	4518	569
444	4525	559
445	4533	548
446	4545	539
447	4574	530
448	4588	521
449	4595	510
450	4604	500
451	4612	489
452	4619	479
453	4626	468
454	4633	458
455	4641	447
456	4648	437
457	4656	426
458	4663	416
459	4672	406
460	4679	395
461	4687	385
462	4695	375
463	4703	364
464	4712	354
465	4719	344
466	4727	334
467	4734	323
468	4751	314
469	4776	304
470	4788	294
471	4796	284
472	4803	274
473	4810	263
474	4818	253
475	4824	243
476	4832	233
477	4839	222
478	4847	212
479	4854	202
480	4861	192
481	4868	181
482	4883	171
483	4891	161
484	4899	151
485	4906	141
486	4914	131
487	4922	121
488	4931	110
489	4939	100
490	4969	91
491	4985	81
492	4994	70
493	5001	60
494	5009	50
495	5016	40
496	5023	30
497	5031	20
498	5038	10
499	5046	0
