iter	Logloss
0	0.5890848769
1	0.5053692965
2	0.4427979358
3	0.399888109
4	0.3652979787
5	0.3380726603
6	0.3220897955
7	0.3075830506
8	0.2980190164
9	0.290076109
10	0.2831324258
11	0.2767152993
12	0.270631198
13	0.2648494856
14	0.2607538202
15	0.2560317857
16	0.2511538901
17	0.246958364
18	0.2446193185
19	0.2402560372
20	0.2360359678
21	0.2338663801
22	0.2308532366
23	0.2286366622
24	0.2245770783
25	0.2220774703
26	0.2184932068
27	0.2174267398
28	0.2143285912
29	0.212539242
30	0.2108982092
31	0.2095686016
32	0.2080996094
33	0.2054010206
34	0.2026414385
35	0.2014825384
36	0.2004772091
37	0.1982045946
38	0.1948884596
39	0.1937011763
40	0.1922002168
41	0.191294806
42	0.1903063471
43	0.187009873
44	0.1857770873
45	0.1848909461
46	0.1835078169
47	0.1818495626
48	0.1802027572
49	0.1783262397
50	0.176292049
51	0.1743335218
52	0.1738445051
53	0.1729202669
54	0.1709330906
55	0.1700298115
56	0.1691791222
57	0.1680086617
58	0.1670414103
59	0.1659964671
60	0.1638340583
61	0.1618785791
62	0.161512386
63	0.1606840427
64	0.1603572374
65	0.1595152203
66	0.1581584864
67	0.1573589226
68	0.1559596219
69	0.1547331073
70	0.1530950105
71	0.1525705369
72	0.1516976892
73	0.1505733887
74	0.1492905817
75	0.1487630848
76	0.1478121357
77	0.147045784
78	0.1465228808
79	0.1449001726
80	0.1443159052
81	0.1437801587
82	0.1426952065
83	0.1419787555
84	0.1404978779
85	0.1398410783
86	0.1391093528
87	0.1381880433
88	0.1376850301
89	0.1364391228
90	0.1360513043
91	0.1353208375
92	0.1345397088
93	0.133633059
94	0.1321271383
95	0.1316928967
96	0.1308317603
97	0.1298355407
98	0.1293325573
99	0.1286602006
100	0.1278696802
101	0.1267607983
102	0.1261319305
103	0.1253695103
104	0.1241380937
105	0.1234386853
106	0.1227487209
107	0.1214530308
108	0.1204163182
109	0.1199568679
110	0.1191932692
111	0.1186617167
112	0.1175078618
113	0.1165356072
114	0.1161076902
115	0.1149286733
116	0.1142367754
117	0.1135974197
118	0.1130989963
119	0.1125467126
120	0.1118918957
121	0.1112888333
122	0.1109293048
123	0.1105631461
124	0.1098165761
125	0.1090508436
126	0.1078739994
127	0.1073255363
128	0.1069849043
129	0.1061037705
130	0.1054740263
131	0.1051566578
132	0.1046539565
133	0.1042394095
134	0.1034649084
135	0.1024885152
136	0.1019606403
137	0.1016429689
138	0.100928007
139	0.1005824587
140	0.1001001456
141	0.0996618393
142	0.09926852911
143	0.09879470712
144	0.09791484981
145	0.09749337799
146	0.09669018596
147	0.09631499599
148	0.09593934305
149	0.095563844
150	0.09503942061
151	0.09455113456
152	0.09389198553
153	0.09353356228
154	0.09298694817
155	0.09274031066
156	0.09226333312
157	0.09184964945
158	0.09131037667
159	0.09078190659
160	0.09035631278
161	0.08973625972
162	0.08930840573
163	0.0886324801
164	0.08835372996
165	0.08782189633
166	0.0875131903
167	0.0872249466
168	0.08682162901
169	0.08660983371
170	0.08630906414
171	0.08586845928
172	0.08556943577
173	0.08528753729
174	0.08484139954
175	0.08449475716
176	0.08423319532
177	0.08369254577
178	0.08329256093
179	0.08303428182
180	0.0826175531
181	0.08225369007
182	0.08194389804
183	0.08145299207
184	0.08116698109
185	0.08065543312
186	0.08039536117
187	0.08009612854
188	0.07984985588
189	0.07945955755
190	0.079087778
191	0.07883148854
192	0.07830903822
193	0.07799189139
194	0.07771122297
195	0.07716215745
196	0.07679053361
197	0.07646596441
198	0.07582016893
199	0.07516759739
200	0.0749079529
201	0.07459899292
202	0.07440025491
203	0.07406327012
204	0.0738113116
205	0.07354866623
206	0.0730324045
207	0.07275121977
208	0.07246651931
209	0.07219070021
210	0.07187462115
211	0.07142435287
212	0.07123195802
213	0.07095329212
214	0.07078754211
215	0.07032349207
216	0.06989351098
217	0.06975733244
218	0.06943279814
219	0.0690811738
220	0.06881070339
221	0.06858815588
222	0.06833139937
223	0.06790744502
224	0.06765430366
225	0.06741488585
226	0.06704491241
227	0.06675420736
228	0.06646055726
229	0.06616070614
230	0.06588760285
231	0.06564915769
232	0.06529833676
233	0.06495265553
234	0.06476620159
235	0.06438815169
236	0.06415499648
237	0.06385548131
238	0.06360362064
239	0.06333056741
240	0.06297680895
241	0.06276413702
242	0.06262542776
243	0.06239604922
244	0.0622247306
245	0.06199318678
246	0.06166222837
247	0.06148160059
248	0.06127184605
249	0.06106290055
250	0.06090851167
251	0.06073206244
252	0.06046547243
253	0.06017022774
254	0.05991434358
255	0.05966482605
256	0.0594739785
257	0.05931987809
258	0.05925212246
259	0.05899300728
260	0.05880179705
261	0.05848350079
262	0.05832342873
263	0.05809078847
264	0.05789212851
265	0.05759274355
266	0.05736906557
267	0.05717276248
268	0.05686900251
269	0.0566451592
270	0.0563664316
271	0.05628241654
272	0.05611238327
273	0.0558619422
274	0.05559933219
275	0.05548165355
276	0.05530836473
277	0.05487804264
278	0.05474572204
279	0.05449222185
280	0.05429468182
281	0.05405784582
282	0.05382495769
283	0.05353654248
284	0.05334218993
285	0.0531791181
286	0.05306864278
287	0.05292593992
288	0.05264324701
289	0.05247129502
290	0.05228373152
291	0.05211974454
292	0.051955687
293	0.05176447776
294	0.05159495172
